"Country_Codes","Country","Population","Total_Cases","Total_Deaths","Total_Recovered","Active_Cases","Total_Test","Total_Vaccination"
"CHN","China","1448471400","503302","5272","379053","118977","160000000","3515872818"
"IND","India","1406631776","44808022","531091","44223211","53720","923497482","2206624273"
"USA","United State America","334805269","106464679","1158158","104311698","994823","1175946071","666541020"
"IDN","Indonesia","279134505","6756541","161116","6586736","8689","114158919","444303130"
"PAK","Pakistan","229488994","1580429","30655","1538689","11085","30570862","334981904"
"NGA","Nigeria","216746934","266675","3155","259953","3567","5708974","116606863"
"BRA","Brazil","215353593","37358092","700811","36249161","408120","63776166","509399590"
"BGD","Bangladesh","167885689","2038091","29446","1998448","10197","15254399","358530031"
"RUS","Russia","145805947","22758243","397790","22144313","216140","273400000","186318525"
"MEX","Mexico","131562772","7563576","333669","6809445","420462","19835770","222580922"
"JPN","Japan","125584838","33573695","74220","21725273","11774202","99119701","383172235"
"ETH","Ethiopia","120812698","500774","7574","487838","5362","5532785","53805400"
"PHL","Philippines","112508994","4085539","66437","4009622","9480","34914751","170690206"
"EGY","Egypt","106156692","515913","24613","442182","49118","3693367","111558825"
"VNM","Vietnam","98953541","11530356","43186","10615343","871827","85826548","265980213"
"COD","Democratic Republic of the Congo","95240792","95945","1464","84489","9992","846704","15574105"
"IRN","Iran","86022837","7597982","145571","7342490","109921","55353767","157785811"
"TUR","Turkey","85561976","17232066","102174","16904137","225755","162743369","139694693"
"DEU","Germany","83883596","38382386","171992","38149200","61194","122332384","193166879"
"THA","Thailand","70078203","4728967","33940","4692636","2391","17270775","139143633"
"GBR","United Kingdom","68497907","24448729","209396","24239333","0","522526476","151248820"
"FRA","France","65584518","39896203","166024","39592740","137439","271490188","157891260"
"TZA","Tanzania","63298550","42973","846","183","41944","13","39392419"
"ZAF","South Africa","60756135","4075849","102595","3912506","60748","26795090","38711609"
"ITA","Italy","60262770","25737170","189391","25413901","133878","270717229","150260818"
"KEN","Kenya","56215221","342992","5688","337282","22","3967062","23750431"
"MMR","Myanmar","55227143","634154","19490","614619","45","10227586","64549994"
"COL","Colombia","51512762","6363544","142698","6186501","34345","36951507","90506612"
"KOR","South Korea","51329899","30978954","34368","30764355","180231","15804065","135716807"
"UGA","Uganda","48432863","170610","3632","100431","66547","3012408","26406936"
"ESP","Spain","46719142","13813830","120606","13659874","33350","471036328","112662655"
"ARG","Argentina","46010234","10044957","130472","9914485","0","35716069","109652736"
"SDN","Sudan","45992020","63922","5034","58626","262","562941","22598737"
"DZA","Algeria","45350148","271642","6881","182916","81845","230861","15267442"
"UKR","Ukraine","43192122","5484936","111789","5334190","38957","32603805","31668577"
"IRQ","Iraq","42164965","2465545","25375","2439497","673","19544451","19557364"
"AFG","Afghanistan","40754388","212605","7896","192700","12009","1224908","16625558"
"CAN","Canada","38388419","4641301","52247","4563303","25751","66343123","97224600"
"MAR","Morocco","37772756","1272733","16296","1256151","286","13001033","55387241"
"POL","Poland","37739785","6508636","119480","5335940","1053216","38606044","58085517"
"SAU","Saudi Arabia","35844909","838246","9637","823911","4698","45378829","68454048"
"AGO","Angola","35027343","105353","1934","103396","23","1499795","25042414"
"UZB","Uzbekistan","34382084","252265","1637","241486","9142","1377915","75503399"
"PER","Peru","33684208","4496896","219991","4273686","3219","38423871","88628251"
"MYS","Malaysia","33181072","5056911","36994","5006634","13283","68342991","72601123"
"MOZ","Mozambique","33089461","233334","2242","228805","2287","1371127","29457535"
"GHA","Ghana","32395450","171589","1462","170073","54","2535386","22384226"
"YEM","Yemen","31154867","11945","2159","9124","662","329592","1275258"
"NPL","Nepal","30225582","1002128","12022","989729","377","6026236","61476637"
"VEN","Venezuela","29266991","552512","5856","546421","235","3359014","37860994"
"MDG","Madagascar","29178077","68105","1424","66566","115","528968","2853896"
"CMR","Cameroon","27911548","124834","1970","122640","224","1751774","4548943"
"CIV","Ivory Coast","27742298","88315","834","87473","8","1687333","25263932"
"NER","Niger","26083660","9931","312","8890","729","254538","7339299"
"AUS","Australia","26068792","11381793","20049","11314115","47629","78835048","65492360"
"PRK","North Korea","25990679","4772813","74","4772739","0","3","0"
"TWN","Taiwan","23888595","10239998","19005","10220993","0","30742304","0"
"BFA","Burkina Faso","22102838","22056","396","21596","64","248995","6674010"
"LKA","Sri Lanka","21575842","672103","16835","655253","15","6486117","40116590"
"MLI","Mali","21473764","33134","743","32312","79","802511","5761850"
"MWI","Malawi","20180839","88717","2686","85641","390","624784","7540975"
"ZMB","Zambia","19470234","343803","4058","339632","113","4000548","13614983"
"SYR","Syria","19364809","57508","3164","54344","0","146269","4971203"
"CHL","Chile","19250195","5278252","64497","5211301","2454","49226745","65248327"
"KAZ","Kazakhstan","19205043","1410791","13848","1383020","13923","11575012","33691195"
"ROU","Romania","19031335","3380891","67961","3299960","12970","27131523","16108109"
"GTM","Guatemala","18584039","1246722","20189","1225638","895","7148360","20324265"
"ECU","Ecuador","18113361","1059529","36017","1022992","520","3082403","39495110"
"SEN","Senegal","17653671","88978","1971","86998","9","1146543","2930667"
"TCD","Chad","17413580","7696","194","4874","2628","191341","8543941"
"NLD","Netherlands","17211447","8610372","22992","8582526","4854","25984435","36105753"
"KMH","Cambodia","17168639","138726","3056","135669","1","3091420","46808756"
"SOM","Somalia","16841795","27334","1361","13182","12791","400466","8726329"
"ZWE","Zimbabwe","15331428","264584","5685","258844","55","2525756","13935112"
"GIN","Guinea","13865691","38280","467","37757","56","660107","10645240"
"RWA","Rwanda","13600464","133194","1468","131647","79","6021981","26106436"
"BEN","Benin","12784726","28014","163","27847","4","604310","4232541"
"BDI","Burundi","12624840","53719","38","53569","112","345742","36281"
"TUN","Tunisia","12046656","1152262","29367","0","0","5008040","13247807"
"BOL","Bolivia","11992656","1196464","22375","1165163","8926","2705422","15918685"
"HTI","Haiti","11680283","34218","860","33216","142","132422","608275"
"BEL","Belgium","11668278","4786803","34166","4723282","29355","36973399","29115074"
"SSD","South Sudan","11618511","18368","138","18115","115","410280","3900346"
"CUB","Cuba","11305652","1112990","8530","1104340","120","14324663","38047776"
"DOM","Dominican Republic","11056370","660937","4384","644785","11768","3740928","15950237"
"CZE","Czechia","10736784","4637897","42726","4591159","4012","57149297","18608534"
"GRC","Greece","10316637","5972760","36629","5927050","9081","102228365","21979563"
"JOR","Jordan","10300869","1746997","14122","1731007","1868","17201885","10057975"
"AZE","Azerbaijan","10300205","830780","10212","820094","474","7575517","13812050"
"HND","Honduras","10221247","472485","11111","0","0","1650345","17268919"
"SWE","Sweden","10218971","2703773","23928","2676426","3419","19500873","23206123"
"PRT","Portugal","10140570","5577825","26480","5545402","5943","46065483","27741176"
"ARE","United Arab Emirates","10081785","1060146","2349","1041294","16503","200056552","24922054"
"TJK","Tajikistan","9957464","17786","125","17264","397","397","18871161"
"HUN","Hungary","9606259","2200211","48828","2147103","4280","11394556","16568528"
"BLR","Belarus","9432800","994037","7118","985592","1327","13646641","19287182"
"ISR","Israel","9326000","4818346","12416","4798473","7457","41373364","15026951"
"PNG","Papua New Guinea","9292169","46837","670","43982","2185","249149","521130"
"AUT","Austria","9066710","6052650","22276","6016085","14289","211273524","20391629"
"CHE","Switzerland","8773637","4400218","14452","4379844","5922","23833472","16748885"
"TGO","Togo","8680837","39470","290","39169","11","810204","3401991"
"SRB","Serbia","8653016","2527640","18002","2498044","11594","12708633","6719835"
"SLE","Sierra Leone","8306436","7762","126","0","0","259958","7548308"
"LAO","Laos","7481023","218048","758","0","0","1233207","15053397"
"PRY","Paraguay","7305843","809269","19906","0","0","2657506","9623482"
"LBY","Libya","7040745","507244","6437","500792","15","2483848","3739158"
"BGR","Bulgaria","6844597","1302146","38288","1260996","2862","11151672","4615074"
"NIC","Nicaragua","6779100","18491","225","4225","14041","33","15304013"
"KGZ","Kyrgyzstan","6728271","206849","2991","196406","7452","1907195","3090060"
"LBN","Lebanon","6684849","1235804","10885","1087587","137332","4795578","5814699"
"SLV","El Salvador","6550389","201785","4230","179410","18145","2610114","11379601"
"SGP","Singapore","5943546","2314707","1727","2149583","163397","24756666","14904028"
"DNK","Denmark","5834950","3179563","8464","3169944","1155","129253612","15102608"
"COG","Congo","5797805","25375","386","24006","983","347815","833210"
"FIN","Finland","5554960","1469865","9144","1456454","4267","12069254","13249324"
"NOR","Norway","5511370","1482235","5213","1475779","1243","11002430","12318248"
"SVK","Slovakia","5460193","1866064","21141","1844330","593","7422919","7219911"
"PSE","Palestine","5345541","621008","5404","615445","159","3078533","3748571"
"OMN","Oman","5323993","399449","4628","384669","10152","25000000","7086050"
"LBR","Liberia","5305117","8090","295","7783","12","139824","4460668"
"CRI","Costa Rica","5182354","1226315","9326","860711","356278","4659757","13066850"
"IRL","Ireland","5020199","1708933","8810","1696485","3638","13083449","12358591"
"CAF","Central African Republic","5016678","15368","113","15200","55","81294","2689234"
"MRT","Mauritania","4901981","63715","997","62471","247","1009957","4068530"
"NZL","New Zealand","4898203","2286481","4045","2271682","10754","7768604","11999352"
"PAN","Panama","4446964","1035357","8617","1026192","548","7621296","8866774"
"KWT","Kuwait","4380326","665527","2570","660237","2720","8455743","8259575"
"HRV","Croatia","4059286","1271276","18091","1252694","491","5560149","5357755"
"MDA","Moldova","4013171","619510","12100","504142","103268","3216305","2284353"
"GEO","Georgia","3968738","1836791","17032","1776548","43211","16920079","2736283"
"ERI","Eritrea","3662244","10189","103","10086","0","23693","0"
"URY","Uruguay","3496016","1037095","7621","1028996","478","6114822","9011694"
"MNG","Mongolia","3378078","1007943","2179","1005732","32","4030048","5668144"
"BIH","Bosnia and Herzegovina","3249317","402636","16328","379084","7224","1884721","1924950"
"JAM","Jamaica","2985094","154687","3532","102678","48477","1183986","1522173"
"QAT","Qatar","2979915","503909","690","501346","1873","4065369","7608683"
"ARM","Armenia","2971966","448707","8743","435162","4802","3242901","2153341"
